,timestamp_est,anonymous_id,language,question,detected_lang,symptom,about,cases,incubation,infection,nextsteps,test,total,cluster,can,hospital,isolation
895,2020-03-23 14:45:00.237,53da0935-849b-4cb3-b747-3343279d2f80,en,Do I need to stay away from my family members if we re all social distancing together in the house,en,0,0,0,0,0,0,0,1,isolation,0,0,1
901,2020-03-22 23:40:40.007,f23b8417-8435-4e7f-a675-af511d9fd996,en,Hello I am social distancing and taking precautions however I have to share a communal sink I try to stay as safe as possible by cleaning it but I have touched the knobs with my bare hands without thinking can germs spread this way Should I avoid the sink in general Thank you,en,0,0,0,0,0,1,0,2,nextsteps,0,0,1
905,2020-03-21 14:17:50.653,a3b6c189-79f6-4af2-af92-db67168e987b,en,I have Hashimoto s hypothyroiditis Am I more at risk I also had a PE due to Fv leiden and oral contraceptives in 2001 what do you recommend I do,en,0,0,0,0,0,1,0,1,nextsteps,0,0,0
907,2020-03-22 13:41:43.852,283caf34-28a4-40d1-8e39-344b1843cd33,en,What are effective immunity boosters,en,0,0,0,0,0,0,0,0,,0,0,0
908,2020-03-23 16:55:40.386,85e7cc80-701e-46e3-9193-c3d74c1987eb,en,What was the total number of deaths before and after the virus,en,0,0,1,0,0,0,0,1,cases,0,0,0
909,2020-03-23 14:18:41.949,f0cb81fe-90ad-48a7-8e44-04dc1fc523fe,en,What is the current COVID 19 confirmed cases trend for Canada,en,0,1,1,0,0,0,0,2,cases,0,0,0
912,2020-03-23 11:41:15.672,2f0cdc34-7ec7-4823-9d04-c130a95c460d,en,When should I contact a doctor,en,0,0,0,0,0,0,0,0,,0,0,0
913,2020-03-22 14:09:57.951,22e81fdf-1dd6-4f10-8072-281d0ca95d9b,en,What is the nearest hospital to go to if I have a COVID 19,en,0,1,0,0,0,1,0,3,nextsteps,0,1,0
917,2020-03-22 13:38:44.858,d8884f31-8b7d-43c8-b44e-c5f3ede233b9,en,Were there documented cases before January 2020,en,0,0,1,0,0,0,0,1,cases,0,0,0
922,2020-03-22 01:16:41.455,9d8e530d-9af3-4a71-8cf0-87a798fbec78,en,How long does the virus remain active and alive after attacking a human body,en,0,0,0,0,0,0,0,0,,0,0,0
925,2020-03-22 21:27:43.286,72c24ab5-97c7-4287-be75-2aa71cbdf788,en,Is staying at home mandatory,en,0,0,0,0,0,0,0,0,,0,0,0
926,2020-03-22 16:12:16.882,e121f604-2c4f-4ebd-be26-914a7b2d2a1a,en,How should I keep my family safe during covid 19,en,0,0,0,0,0,0,0,0,,0,0,0
928,2020-03-23 14:18:41.942,f0cb81fe-90ad-48a7-8e44-04dc1fc523fe,en,How many COVID 19 related deaths have there been in Montreal,en,0,0,1,0,0,0,0,1,cases,0,0,0
929,2020-03-22 15:33:57.14,093574a7-46d8-4320-9e30-38ba5b008459,en,Can you get be infected more than once,en,0,0,0,0,1,0,0,1,infection,0,0,0
931,2020-03-23 17:30:17.623,42d34ce8-637f-4d73-94b5-88574e910b39,en,Do i have a covid or is it just a cold,en,0,0,0,0,0,1,0,1,nextsteps,0,0,0
941,2020-03-22 10:59:00.515,dea201d2-23b5-46b6-af60-8dd3a419c809,en,What should I do if I start feeling sick with similar symptoms as in covid19,en,1,1,0,0,0,0,0,2,symptom,0,0,0
946,2020-03-22 14:29:25.022,fad9475f-2db6-4cf2-a318-72f9b99c690a,en,Does everyone infected need a respirator,en,0,0,0,0,1,0,0,1,infection,0,0,0
950,2020-03-22 09:48:49.897,55d71c8a-35fb-4568-8215-151fc7702c0f,en,What should I do if I have fever,en,0,0,0,0,0,1,0,1,nextsteps,0,0,0
951,2020-03-23 17:19:33.455,95b3bca1-4e02-49bf-8eda-e7e65c6282e3,fr,Is it safe to give blood,en,0,0,0,0,0,0,0,0,,0,0,0
952,2020-03-20 17:02:53.112,a061e1ea-7076-45c7-b063-fe37c9207e8f,en,is covid 19 dangerous,en,0,0,0,0,0,0,0,0,,0,0,0
953,2020-03-22 18:29:19.484,72a4386d-442e-4d58-b2aa-87a8728c8d04,en,How to differentiate between coronavirus and simple flu,en,0,0,0,0,0,0,0,0,,0,0,0
954,2020-03-22 20:44:40.582,b3923f7c-ea90-4af2-94c5-5ee8736975fd,ko,I have a sore throat What do I do,en,0,0,0,0,0,1,0,1,nextsteps,0,0,0
955,2020-03-23 08:35:41.214,fb8c308a-e920-42c9-86e1-4549263409fd,es,What is the risk for a pregnant women,en,0,0,0,0,0,0,0,0,,0,0,0
958,2020-03-22 13:08:22.321,dc44373e-a58b-452c-a0af-5a6cd4d18442,en,Can my cat get the virus,en,0,0,0,0,0,0,0,0,,0,0,0
981,2020-03-22 14:59:26.02,4f0491c9-bcc3-4ac2-ab92-fff2349511ed,en,When should I go to the ER,en,0,0,0,0,0,0,0,0,,0,0,0
982,2020-03-21 16:52:42.209,3d8b0fe1-ac29-4c02-acab-a4834608a0a4,en,What is the risk for an asthmatic,en,0,0,0,0,0,0,0,0,,0,0,0
986,2020-03-21 23:29:02.411,ec41dbc0-8a1c-436a-855c-53583f9b34bf,en,What s the difference between COVID 19 and CoronaVirus,en,0,1,0,0,0,0,0,1,about,0,0,0
989,2020-03-23 19:56:48.2,a6aea3ee-fdf1-45cb-9aa5-ecbb6f91bd42,en,Can I die from Covid 19,en,0,0,0,0,0,0,0,0,,0,0,0
993,2020-03-23 11:03:16.628,217ee8ff-3e18-4214-8714-2dea0348bfaa,en,What is covid19,en,0,1,0,0,0,0,0,1,about,0,0,0
994,2020-03-22 19:02:57.04,810aa05f-3958-4dd8-82d1-2c2ad87c2114,en,how long would it take for the virus to disappear,en,0,0,0,0,0,0,0,0,,0,0,0
995,2020-03-22 00:20:18.842,91c3514c-e3f6-43cd-beae-fb8cdcde4365,vi,What is Covid 19 virus,en,0,1,0,0,0,0,0,1,about,0,0,0
996,2020-03-21 18:56:44.254,1dfa96ae-da69-4e13-a82f-065e558c1b55,en,How many cases in Montreal,en,0,0,1,0,0,0,0,1,cases,0,0,0
999,2020-03-21 15:48:30.032,291fcd60-0f53-4d6a-bff3-086b6f753267,en,Should I be worried about getting sick if the government does not lock down everything,en,0,0,0,0,0,0,0,0,,0,0,0
1000,2020-03-23 11:41:17.596,752aa61d-fbee-4f8f-b2fe-b49bde0df694,en,How fast will the pandemic spread in Canada,en,0,0,0,0,0,0,0,0,,0,0,0
1002,2020-03-23 20:23:47.855,5af1b8a0-ab45-4500-98be-16267b9dd9cd,en,What are the risks for people with diabetes,en,0,0,0,0,0,0,0,0,,0,0,0
1007,2020-03-21 16:35:40.321,13b9248d-7ba2-4a4c-9fd7-f1c59dcce95f,en,is china responsible for the spreading of COVID 19,en,0,0,0,0,0,0,0,0,,0,0,0
1008,2020-03-21 17:38:37.026,28e7f04a-9d6f-48c1-9b13-fb499fe0ef8a,en,How many cases in Quebec,en,0,0,1,0,0,0,0,1,cases,0,0,0
1009,2020-03-23 18:27:39.363,1d8da525-46d8-4536-9c64-e31dda99df00,en,What do I do if I have symptoms,en,1,0,0,0,0,1,0,2,nextsteps,0,0,0
1014,2020-03-22 22:41:21.623,0a6a5e0d-173b-4e6d-af43-63ffae0ae849,en,What are symptoms,en,1,0,0,0,0,0,0,1,symptom,0,0,0
1015,2020-03-21 14:02:57.06,ba8ef58c-ddcc-4dbb-bf57-ea2dd5a341e6,en,If I experience symptoms but they are manageable should I still go to the hospital for testing,en,1,0,0,0,0,0,1,3,hospital,0,1,0
1018,2020-03-21 23:07:59.694,5a340f67-5e5a-42e8-b25c-3594949f3f49,en,how to prevent,en,0,0,0,0,0,0,0,0,,0,0,0
1023,2020-03-22 12:25:12.833,56d0db1e-e0bd-431f-bef5-42cd82d1fe2a,es,What is covid 29,en,0,1,0,0,0,0,0,1,about,0,0,0
1025,2020-03-22 03:37:37.571,0d90e6a2-f7f5-4317-afc9-b8a87d4df68d,en,Why Covid 19,en,0,0,0,0,0,0,0,0,,0,0,0
1026,2020-03-22 03:11:51.474,d7e1a94f-6987-4ffe-b905-b20f3c63260e,en,How many days should I isolate for,en,0,0,0,0,0,0,0,1,isolation,0,0,1
1030,2020-03-22 13:27:58.974,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,what is self monitoring,en,0,0,0,0,0,0,0,0,,0,0,0
1031,2020-03-22 05:08:35.531,b5d3ec22-db30-4c68-ac38-c0e9f1d11eae,en,what is covid 19,en,0,1,0,0,0,0,0,1,about,0,0,0
1032,2020-03-23 09:02:52.245,86ea2ae7-e917-4800-8b10-5221ebb98058,en,How many cases of covid in laval,en,0,0,1,0,0,0,0,1,cases,0,0,0
1034,2020-03-23 08:20:53.994,9f80c211-53e4-4f63-9780-6c5242cc0ed7,en,My brother has COVID 19 What to do,en,0,0,0,0,0,0,0,0,,0,0,0
1036,2020-03-22 13:33:58.8,1fc3566f-0b50-4b55-a2a6-8448e5fb5d15,en,How long will I be sick if I get the virus,en,0,0,0,0,0,0,0,0,,0,0,0
1038,2020-03-22 12:30:23.324,584b2f48-550f-4537-a49a-874eb246809f,en,What is the half life of coronavirus,en,0,1,0,0,0,0,0,1,about,0,0,0
1043,2020-03-22 10:47:15.527,a63f43c0-b672-4292-ade8-89fa4494a91e,en,I think I have COVID,en,0,0,0,0,0,1,0,1,nextsteps,0,0,0
1045,2020-03-22 21:15:02.508,9a4d12a5-a1f1-410a-8870-a875a5e0b251,en,Do I have to wear a mask all the time if I am not infected,en,0,0,0,0,1,1,0,2,nextsteps,0,0,0
1046,2020-03-22 09:53:10.147,4508c214-cc94-4d85-9e93-ac1c77bac593,en,What should I use to disinfect grocery bags and grocery items,en,0,0,0,0,0,0,0,0,,0,0,0
1048,2020-03-23 11:17:27.66,a35d5250-0fc5-4077-a361-86fc5ebf8578,en,How much it s prevelent in Pakistan,en,0,0,0,0,0,0,0,0,,0,0,0
1049,2020-03-22 09:20:34.267,5c7817ec-a9dc-4bf4-af68-c88c3ab4cf67,en,How long will it last,en,0,0,0,0,0,0,0,0,,0,0,0
1050,2020-03-21 20:57:24.544,a0147f27-050a-456f-9d52-8f4b317ba678,zh,what is pandemic,en,0,0,0,0,0,0,0,0,,0,0,0
1051,2020-03-22 17:42:01.896,c3299fdb-9b86-4066-9308-e3cc414fd1ca,en,how to know if i have corona,en,0,0,0,0,0,1,0,1,nextsteps,0,0,0
1054,2020-03-23 09:37:25.63,9595fbf3-2ec3-4779-8926-6053c930263c,en,Is COVID 19 air borne,en,0,0,0,0,0,0,0,0,,0,0,0
1055,2020-03-22 09:04:04.803,7ef7e361-c61a-410f-bd5a-83e59077a8ab,en,How does Covid 19 spread,en,0,0,0,0,0,0,0,0,,0,0,0
1057,2020-03-21 21:28:01.171,f613f0e1-117b-4343-9e77-4fb4b9b168a4,en,where can I test for covid,en,0,0,0,0,0,0,1,1,test,0,0,0
1058,2020-03-21 14:43:01.365,968f3919-1f56-4eca-a8b2-ed64cdffdf79,en,If you recover from the virus can you still be a carrier,en,0,0,0,0,0,0,0,0,,0,0,0
1059,2020-03-22 13:30:51.926,e2d240a6-18c7-4cf1-98b1-e9345426b593,en,What are the symptoms of corona virus,en,1,0,0,0,0,0,0,1,symptom,0,0,0
1063,2020-03-23 16:05:45.916,04777135-a7c5-4f2c-91da-5c1cd954ff9d,en,In how many days can covid be cured,en,0,0,0,0,0,0,0,0,,0,0,0
1064,2020-03-22 15:03:24.212,2e1e637d-fdaa-49be-84df-9bee02ba6abb,en,if someone had pneumonia before are they more at risk,en,0,0,0,0,0,0,0,0,,0,0,0
1066,2020-03-22 14:59:26.062,4f0491c9-bcc3-4ac2-ab92-fff2349511ed,en,Can I get infected after I healed from it,en,0,0,0,0,1,0,0,1,infection,0,0,0
1069,2020-03-22 08:31:07.499,3103c5f4-aecc-4d3d-8f52-ecb8d84afca7,en,I am in self isolation Is it ok to let in family members who must continue to go to work,en,0,0,0,0,0,0,0,1,isolation,0,0,1
1072,2020-03-22 16:26:57.209,f3d5f561-cf45-4a01-8aa7-aa77bf1f4619,en,How long does the virus survive on a surface like a doorknob,en,0,0,0,0,0,0,0,0,,0,0,0
1073,2020-03-23 11:24:35.586,13920756-b979-4526-b6ec-9bcde875a04a,fr,what is the risk for a pregnent woman,en,0,0,0,0,0,0,0,0,,0,0,0
1075,2020-03-22 08:24:51.473,e1467c89-10ef-4ce1-9351-378287cf2c89,en,treatment for covid 19,en,0,0,0,0,0,0,0,0,,0,0,0
1079,2020-03-22 10:48:17.475,369aaaf4-82db-4e01-85dd-da912c45fa1f,en,When will life get back to normal,en,0,0,0,0,0,0,0,0,,0,0,0
1084,2020-03-21 16:41:57.517,8c2be3c5-7e39-4cb6-ae74-5c0aff539ab4,de,What are the Symptome,en,1,0,0,0,0,0,0,1,symptom,0,0,0
1085,2020-03-22 13:08:22.369,dc44373e-a58b-452c-a0af-5a6cd4d18442,en,Will the pandemic affect university research,en,0,0,0,0,0,0,0,0,,0,0,0
1088,2020-03-22 19:29:26.702,e479e81f-506d-488f-bbfa-c1e7ce998ac5,en,If I have symptoms and I am told to stay home can I take Tylenol,en,1,0,0,0,0,1,0,2,nextsteps,0,0,0
1090,2020-03-23 22:31:49.057,543dc964-0ddd-4ff9-94bf-423b077981e0,en,Can you get the virus twice,en,0,0,0,0,0,0,0,0,,0,0,0
1093,2020-03-22 09:20:34.283,5c7817ec-a9dc-4bf4-af68-c88c3ab4cf67,en,Can you smoke cannabis during Covid,en,0,0,0,0,0,0,0,0,,0,0,0
1102,2020-03-22 13:38:45.084,d8884f31-8b7d-43c8-b44e-c5f3ede233b9,en,Will people on LTD Long Term Disability drill receive their payments,en,0,0,0,0,0,0,0,0,,0,0,0
1112,2020-03-24 00:58:07.307,71e58510-1f0d-40a9-8d57-be1084cf398f,es,What are the covid simptons,en,1,0,0,0,0,0,0,1,symptom,0,0,0
1114,2020-03-22 11:50:40.132,710e23d7-7a6a-42ed-bd1b-526db8c8c2f8,en,I would like to get COVID19 test where can I get it,en,0,0,0,0,0,0,1,1,test,0,0,0
1118,2020-03-23 08:35:41.25,fb8c308a-e920-42c9-86e1-4549263409fd,es,Are there any risk for the foetus,en,0,0,0,0,0,0,0,0,,0,0,0
1119,2020-03-22 19:40:29.864,25747ad4-80d0-4f9d-9e34-f40f8a0f0417,en,How many people are infected in toronto,en,0,0,0,0,1,0,0,1,infection,0,0,0
1121,2020-03-22 09:45:32.888,93e77e53-231e-452a-888f-19fe67b711a8,en,Who can I make the difference between a cold and covid19,en,0,0,0,0,0,0,0,0,,0,0,0
1122,2020-03-22 20:35:22.054,10bd6bb9-f50f-4d65-943a-5b1de75be3df,en,Would it help to ensure there is a warehouse already filled with protective gear for health professionals worldwide instead of scrambling or ordering these last minute and also have enough hospitals built because if we don t do that we ll have to do what China did and build a hospital at the last minute,en,0,0,0,0,0,0,0,0,,0,0,0
1130,2020-03-22 14:09:57.743,22e81fdf-1dd6-4f10-8072-281d0ca95d9b,en,What do I do if someone with COVID 19 spotted,en,0,0,0,0,0,0,0,0,,0,0,0
1131,2020-03-22 17:15:05.887,81462647-ac3c-4d40-8efa-e58aaeea78f5,en,What is Covid 19,en,0,1,0,0,0,0,0,1,about,0,0,0
1134,2020-03-23 07:37:56.308,a0020410-f041-443c-891e-4a313289aab4,en,Does the fever persists in corona,en,0,0,0,0,0,0,0,0,,0,0,0
1136,2020-03-23 03:41:32.753,33aa1314-2aee-49d7-976c-ed060e472ddc,en,How long can the virus stay in the air,en,0,0,0,0,0,0,0,0,,0,0,0
1139,2020-03-22 16:26:57.21,f3d5f561-cf45-4a01-8aa7-aa77bf1f4619,en,Can we be contagious when we don t show symptoms,en,1,0,0,0,0,0,0,1,symptom,0,0,0
1143,2020-03-23 20:51:30.167,b8b47cef-6d66-4f35-839d-db418d477e49,en,When will we be back to work,en,0,0,0,0,0,0,0,0,,0,0,0
1144,2020-03-22 20:48:42.624,b66ae773-a18d-4129-ab8c-6e90e00f4a65,en,How long the sickens last m,en,0,0,0,0,0,0,0,0,,0,0,0
1146,2020-03-22 11:33:45.54,ff357aeb-b1c5-4de8-b2a9-ee9b8fb7fd6c,en,What is self isolation,en,0,0,0,0,0,0,0,1,isolation,0,0,1
1147,2020-03-22 23:04:43.41,a9d6676a-7c95-480f-993a-b69152436c48,en,I recently relocated to Quebec Can I request RAMQ card with visiting the RAMQ office,en,0,0,0,0,0,0,0,0,,0,0,0
1148,2020-03-22 06:27:08.067,6a11a88c-f506-4824-89e5-a49aaeb434d7,en,What are differences in term of symptoms between the new coronavirus and normal flu cod,en,1,0,0,0,0,0,0,1,symptom,0,0,0
1155,2020-03-21 16:37:30.743,ff2949a6-4d58-4305-8456-459400fe7cf1,en,In this time of crisis is it okay to feed the raccoons,en,0,0,0,0,0,0,0,0,,0,0,0
1156,2020-03-21 18:48:44.969,7f0bd659-d209-4d2b-bd3a-f0fe73cb085b,en,How long is incubation period,en,0,0,0,1,0,0,0,1,incubation,0,0,0
1161,2020-03-23 23:20:15.424,498605fa-f769-4d72-b6ef-2025c2db00f0,en,i am coughing what should i do,en,0,0,0,0,0,0,0,0,,0,0,0
1163,2020-03-22 19:06:03.097,a245370e-481d-439b-ad2b-d5d10262c63e,en,What is covid 19,en,0,1,0,0,0,0,0,1,about,0,0,0
1165,2020-03-22 12:30:23.283,584b2f48-550f-4537-a49a-874eb246809f,en,Does COVID 19 spread by means of gametes,en,0,0,0,0,0,0,0,0,,0,0,0
1166,2020-03-23 20:21:23.826,8367cf83-39f0-4e75-be06-c50ae0a04f82,en,Do I need to wash my vegetables and fruits,en,0,0,0,0,0,0,0,0,,0,0,0
1173,2020-03-23 06:15:17.156,2335204f-3f70-4cd7-8d3d-9de8ba2b5af5,en,How long does it take an average person to recover,en,0,0,0,0,0,0,0,0,,0,0,0
1174,2020-03-23 18:58:36.963,34d8d079-e65a-423a-b652-e77b6f8df739,en,What are the symptoms of COVID 19,en,1,0,0,0,0,0,0,1,symptom,0,0,0
1175,2020-03-22 04:32:39.827,fbaf1b75-31c8-4652-b6c5-1cd56c78c9eb,en,how to know that somebody have a corona,en,0,0,0,0,0,0,0,0,,0,0,0
1178,2020-03-23 20:42:30.551,0847cc98-9090-43f9-a4d5-ffcb3b5ba240,en,How can i cure covid 19,en,0,0,0,0,0,0,0,0,,0,0,0
1180,2020-03-21 08:52:33.554,04227e51-dd74-4104-9b40-f1be16f97eea,en,How long will it take to develop a vaccine,en,0,0,0,0,0,0,0,0,,0,0,0
1181,2020-03-22 14:09:57.768,22e81fdf-1dd6-4f10-8072-281d0ca95d9b,en,What COVID 19 stands for,en,0,0,0,0,0,0,0,0,,0,0,0
1182,2020-03-23 12:12:13.447,db468922-6c47-498f-b498-ebc957ae7092,en,what are the symptoms of covid 19,en,1,0,0,0,0,0,0,1,symptom,0,0,0
1184,2020-03-22 07:16:09.175,f903961b-07f4-43cb-ba48-394227a97314,en,Doeas the software is automatic in English because I use an English device If I ask in French the answer will be in French,en,1,0,0,0,0,0,0,1,symptom,0,0,0
1185,2020-03-22 14:47:52.19,abcb3774-e347-4f81-a202-cf4775a80c0f,en,I have fever 38 C Is that corona virus symptoms,en,1,0,0,0,0,1,0,2,nextsteps,0,0,0
1186,2020-03-22 10:18:28.906,5115cb5e-6605-49b8-ab0b-76bd2a238c85,en,What is corona virus and COVID19,en,0,1,0,0,0,0,0,1,about,0,0,0
1191,2020-03-22 15:15:16.401,e90e8f0c-f73b-4fe1-9fcb-bed2f01dacb1,ro,WHat is your name,en,0,0,0,0,0,0,0,0,,0,0,0
1195,2020-03-22 09:35:47.331,13b14987-413a-4d47-8e56-3af43f79db8a,en,How many death in Quebec,en,0,0,1,0,0,0,0,1,cases,0,0,0
1197,2020-03-22 13:30:48.1,93f115a2-f4eb-4faa-8f26-f56266065753,en,What are the demographics of people infected hospitalized and deceased in Quebec,en,0,0,0,0,1,0,0,1,infection,0,0,0
1198,2020-03-21 09:10:27.241,7b743f72-9dea-4951-908a-24e873d76a34,en,What are the symptoms of COVID 19,en,1,0,0,0,0,0,0,1,symptom,0,0,0
1199,2020-03-22 00:10:16.692,a766799a-10d9-423f-bae2-f305cfea635e,en,When will the pandemic end,en,0,0,0,0,0,0,0,0,,0,0,0
1200,2020-03-22 06:54:58.146,8228b488-6ce7-4bcc-935f-e1a8f3ca480b,en,What to do when i gave cough,en,0,0,0,0,0,0,0,0,,0,0,0
1202,2020-03-22 18:46:09.761,78f60672-d37b-4259-9082-168abb98a851,en,How are you,en,0,0,0,0,0,0,0,0,,0,0,0
1203,2020-03-21 14:32:43.5,b95e3026-d4c2-4c4a-b45f-6cd16c5be92c,en,Should I use asprin with I have the coronavirus,en,0,0,0,0,0,1,0,1,nextsteps,0,0,0
1205,2020-03-22 18:41:36.362,cee73333-a003-47bb-8007-e29c33445947,en,What the different between corona and COVID_19,en,0,0,0,0,0,0,0,0,,0,0,0
1206,2020-03-23 13:26:42.08,14acd691-c5c6-49c7-b37b-8995b7a207cd,en,Number of cases in Inida,en,0,0,1,0,0,0,0,1,cases,0,0,0
1207,2020-03-22 16:49:42.339,d31625ef-010c-4926-b525-2e5ac23e63ec,en,How did this virus transmit,en,0,0,0,0,0,0,0,0,,0,0,0
1208,2020-03-21 23:07:39.93,710e23d7-7a6a-42ed-bd1b-526db8c8c2f8,en,Where do we get the test for COVID 19,en,0,0,0,0,0,0,1,1,test,0,0,0
1209,2020-03-24 00:08:23.391,6f1c48ac-9b78-48c2-a5ec-0726be130d85,en,how long does COVID 19 virus lasts in the body,en,0,0,0,0,0,0,0,0,,0,0,0
1211,2020-03-22 16:50:40.807,9552da69-8edc-4a5c-b643-c03b5b8c26fe,en,Is it ok to go outside to get fresh air,en,0,0,0,0,0,0,0,0,,0,0,0
1215,2020-03-23 20:22:49.162,7dec897c-85c1-48c7-8b6d-1cc9512fe9e2,en,If you contract COVID 19 how do you treat yourself at home,en,0,0,0,0,0,0,0,0,,0,0,0
1217,2020-03-21 19:50:48.602,ceae6bf7-a5ec-4832-934d-211ebc182948,es,What s happen for country near the Ecuador with a lot of hot,en,0,0,0,0,0,0,0,0,,0,0,0
1219,2020-03-22 09:05:28.723,ae5ee9d3-6830-4a23-9b6f-da44fcfcafd9,en,List of Canadian hospitals treating not testing patients with COVID 19,en,0,0,0,0,0,0,1,1,test,0,0,0
1220,2020-03-23 10:53:21.891,bb66c25f-bf85-4641-b3cd-b745e442a36c,en,How many cases are in spain,en,0,0,1,0,0,0,0,1,cases,0,0,0
1221,2020-03-22 14:09:57.944,22e81fdf-1dd6-4f10-8072-281d0ca95d9b,en,What is the meaning of COVID 19,en,0,1,0,0,0,0,0,1,about,0,0,0
1223,2020-03-22 12:35:43.784,95b4de1f-3df5-4e20-a0da-1e1993a7bb77,en,how many people die for cover,en,0,0,0,0,0,0,0,0,,0,0,0
1226,2020-03-21 17:39:34.381,83f51718-d521-4b00-9f0e-01e5b2f5d68f,en,What are the symptoms of Covid 19,en,1,0,0,0,0,0,0,1,symptom,0,0,0
1228,2020-03-21 23:08:51.623,96e5bf45-a3e2-479b-af53-202773ea1b81,en,How long will it take for a vaccine to be produced,en,0,0,0,0,0,0,0,0,,0,0,0
1240,2020-03-22 22:01:33.044,27981bf8-e098-4bc3-b2a5-d1aa2fd1a2c4,es,What is COVID 19,en,0,1,0,0,0,0,0,1,about,0,0,0
1242,2020-03-22 13:27:59.042,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,how to prepare for spread of covid 19,en,0,0,0,0,0,0,0,0,,0,0,0
1244,2020-03-23 02:23:00.027,8b187e4c-65ce-4b2f-9a45-856456bea2f3,ar,On a recent study published in Nature it says that the severity of symptoms of COVID 19 infection depends on how much is your Angiotensin converting enzyme 2 gene is expressed my question is on what factors does the rate of ACE2 gene expression depends I,en,1,0,0,0,1,0,0,2,infection,0,0,0
1247,2020-03-22 23:54:26.249,7ab089e2-6a92-4f52-ae59-8a9760d3f6a1,en,how many death now,en,0,0,1,0,0,0,0,1,cases,0,0,0
1248,2020-03-21 18:19:33.609,a228afbc-c07b-4266-884a-a49171468666,en,im sneezing should i be worried,en,0,0,0,0,0,0,0,0,,0,0,0
1251,2020-03-23 02:42:35.294,99a6d735-29e1-44e0-8867-93735549fd54,en,Symptom,en,1,0,0,0,0,0,0,1,symptom,0,0,0
1254,2020-03-21 14:02:25.519,0f20ee6c-0cac-4d0d-880d-1a2a6c87d96d,en,Do the symptoms start suddenly or they progress slowly from one day to another,en,1,0,0,0,0,0,0,1,symptom,0,0,0
1258,2020-03-22 13:27:58.967,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,what is self isolation,en,0,0,0,0,0,0,0,1,isolation,0,0,1
1260,2020-03-22 15:26:31.691,aa35e684-97f8-4569-bfe9-e87ee2e051e3,en,Do I need to be seen by a doctor,en,0,0,0,0,0,0,0,0,,0,0,0
1261,2020-03-22 19:19:51.753,75500523-383e-4558-8680-6efc7d915f91,en,About COVID 19,en,0,0,0,0,0,0,0,0,,0,0,0
1262,2020-03-22 13:38:44.933,d8884f31-8b7d-43c8-b44e-c5f3ede233b9,en,If I inhale a high concentration of soap bubbles would that kill the virus on contact in my lungs,en,0,0,0,0,0,0,0,0,,0,0,0
1263,2020-03-22 22:17:02.571,66303059-b2da-434c-8cdc-b1880a4e1f57,en,Can I fo,en,0,0,0,0,0,0,0,0,,0,0,0
1264,2020-03-23 17:10:13.088,5c01f579-fa60-459f-8f7e-2ea8f0aa2833,en,What measures can I take if someone I know is effected with the virus,en,0,0,0,0,0,0,0,0,,0,0,0
1265,2020-03-22 10:20:13.844,24bd2a20-fa56-4420-949c-25a83c5a52f1,en,I was in contact with a person who had coronavirus what should I do,en,0,1,0,0,0,0,0,1,about,0,0,0
1266,2020-03-23 11:02:49.031,52de19b4-f8c6-4eaf-8d85-f2651537c16e,en,What is your name,en,0,0,0,0,0,0,0,0,,0,0,0
1267,2020-03-21 16:36:06.691,107eeb57-8b1f-481e-aff5-8ce87b1cea8a,en,How long will social distancing measures last,en,0,0,0,0,0,0,0,1,isolation,0,0,1
1268,2020-03-22 21:56:33.472,f753f60e-53cf-4e33-8acb-f024257b093f,en,If I catch the virus will I be immune from getting it again,en,0,0,0,0,0,0,0,0,,0,0,0
1272,2020-03-22 15:29:50.712,3ef439a6-e430-4034-9aae-e2f33edd633d,nl,What are you symtoms of covid,en,1,0,0,0,0,0,0,1,symptom,0,0,0
1273,2020-03-22 19:32:47.185,98c7dd99-ea3b-44e5-8804-3dda91c53982,en,What is COVID 19,en,0,1,0,0,0,0,0,1,about,0,0,0
1274,2020-03-21 15:36:20.298,bb22c696-3a40-4f57-8175-4b31cec184e5,en,How long can the virus live,en,0,0,0,0,0,0,0,0,,0,0,0
1277,2020-03-23 11:40:28.89,f2c35a0b-1566-401d-9186-8a5fa1e7e2b5,en,what is my level of risk,en,0,0,0,0,0,0,0,0,,0,0,0
1281,2020-03-22 09:43:17.825,81755909-a6cf-42b4-801b-2abda6514af0,en,What will be th impact on international students,en,0,0,0,0,0,0,0,0,,0,0,0
1284,2020-03-23 22:31:21.91,74791eb5-0f37-46f7-80a4-82f686c14c7c,en,Can I go out after recovery even if I am still in quarantine time,en,0,0,0,0,0,0,0,1,can,1,0,0
1287,2020-03-22 18:45:54.43,9ab6251c-e335-4d14-b37e-f5fe6d3a1776,en,What is corona virus,en,0,1,0,0,0,0,0,1,about,0,0,0
1290,2020-03-21 21:33:41.729,4b862889-8632-4a58-9b9e-66fa17c8fcdb,es,what is covid 19,en,0,1,0,0,0,0,0,1,about,0,0,0
1293,2020-03-23 10:36:55.499,95af0e48-f1f2-4b1e-b51d-e4e384a9cbdc,en,how long people live after being infected by coronavirus,en,0,0,0,0,1,0,0,1,infection,0,0,0
1294,2020-03-19 13:40:44.882,f75ca552-9cf8-4f52-8151-25c0cea0a8b0,en,Get I get infected from a dog,en,0,0,0,0,1,0,0,1,infection,0,0,0
