,timestamp_est,anonymous_id,language,question,detected_lang,text,translation,cluster,ahc_label
2323,2020-03-23T10:03:02.399Z,e032257a-1498-498b-8f42-7d1dda4cc245,fr,"Ma mère est toute seule à la maison à la campagne, que puis-je faire pour l'aider?",fr,ma mere est toute seule a la maison a la campagne que puis je faire pour l aider,"My mother is all alone at home in the countryside, what can I do to help her?",unclassified,3.0
2324,2020-03-23T11:30:53.739Z,9655957b-5d56-402d-9f8d-4924983e30da,fr,Est-il vrai que la Covid-19 cause des nausées et/ou de la diarrhée?,fr,est il vrai que la covid cause des nausees et ou de la diarrhee,Is it true that Covid-19 causes nausea and / or diarrhea? ,unclassified,9.0
2325,2020-03-23T12:27:40.636Z,07963047-657d-47be-8666-df2b820d01eb,fr,Mon chien peut-il me transmettre le virus,fr,mon chien peut il me transmettre le virus,Can my dog ​​transmit the virus to me ,animals,
2326,2020-03-23T10:39:46.169Z,7846e449-2f8d-4611-baea-c6915604d3b5,en,Tu te sens plus fatigué que d'habitude?,fr,tu te sens plus fatigue que d habitude,Do you feel more tired than usual? ,unclassified,6.0
2328,2020-03-23T11:30:58.686Z,f1fc4066-0d34-48b8-810d-5ec42660a53c,fr,Combien de temps pouvons nous être contagieux pour les autres si nous avons le coronavirus?,fr,combien de temps pouvons nous etre contagieux pour les autres si nous avons le coronavirus,How long can we be contagious to others if we have coronavirus? ,dangerisk,
2329,2020-03-23T10:49:41.816Z,b98ef4d2-4017-4313-9500-e68a0cfd2631,fr,Quels sont les traitements? ,fr,quels sont les traitements,What are the treatments? ,treatment,
2331,2020-03-23T08:53:51.112Z,50c969c3-aaeb-48e0-8bef-b12834c50217,fr,Est ce que si on passe à côté de quelque qu'un de malade mais qu'il ne tousse pas on peut attraper le coronavirus seulement parce qu'on respire le même air?,fr,est ce que si on passe a cote de quelque qu un de malade mais qu il ne tousse pas on peut attraper le coronavirus seulement parce qu on respire le meme air,"If we pass by someone who is sick but don't cough, can we catch coronavirus only because we breathe the same air? ",unclassified,46.0
2332,2020-03-23T09:32:26.73Z,a2ccf036-a104-481c-9794-54ab053abc76,fr,qu'est-ce que c'est la COVID-19?,fr,qu est ce que c est la covid,what is COVID-19? ,about,
2334,2020-03-23T11:53:41.858Z,85ce748a-dc39-49b1-b124-4f9f2fa06646,fr,"Si mes parents habitent seuls et ne voient personne, puis-je aller les voir avec mon bébé d’un an ? Mon bébé ne va dans aucun endroit public et je vais à l’épicerie une fois par semaine et je désinfecte tout ensuite.",fr,si mes parents habitent seuls et ne voient personne puis je aller les voir avec mon bebe d un an mon bebe ne va dans aucun endroit public et je vais a l epicerie une fois par semaine et je desinfecte tout ensuite,"If my parents live alone and can't see anyone, can I go see them with my one year old baby? My baby does not go to any public place and I go to the grocery store once a week and I disinfect everything afterwards. ",unclassified,8.0
2340,2020-03-23T08:42:50.621Z,5aba2275-7f75-4532-9a7f-88e683ff14ab,fr,Est-ce qu'on peut mourir du coronavirus ? ,fr,est ce qu on peut mourir du coronavirus,Can we die from coronavirus?,unclassified,46.0
2341,2020-03-23T09:40:09.495Z,f3199be3-ea8c-428b-a29e-5edae59e02aa,fr,Quels sont les symptômes du covid-19?,fr,quels sont les symptomes du covid,What are the symptoms of covid-19? ,symptom,
2342,2020-03-23T10:37:35.734Z,ef99afc5-e369-4e9c-bf61-b46805535953,fr,"Si on arrive à aplanir la courbe, combien de temps l'isolation pourrait durer?",fr,si on arrive a aplanir la courbe combien de temps l isolation pourrait durer,"If we can flatten the curve, how long could the insulation last? ",future,
2345,2020-03-23T11:49:49.212Z,e00634ff-fec6-4fc1-9513-10891925bb6b,fr,"Comment obtenir un traitement urgent d'un physiothérapeute pour un lymphoedème en phase aigüe, alors que ces services au public et au privé sont suspendus ou limités?",fr,comment obtenir un traitement urgent d un physiotherapeute pour un lymphoedeme en phase aigue alors que ces services au public et au prive sont suspendus ou limites,"How to get urgent treatment from a physiotherapist for acute lymphedema, when these services to the public and to the private are suspended or limited? ",treatment,
2346,2020-03-23T09:56:42.363Z,7b2771f3-db94-4b6a-b0ea-cbde045a1a99,fr,Heures ouverture des pharmacies ,fr,heures ouverture des pharmacies,Opening hours of pharmacies ,unclassified,50.0
2350,2020-03-23T08:09:10.35Z,965ad4ab-561f-4755-acb2-f6d816c90633,fr,Est-ce que j'ai les symptomes du COVID?,fr,est ce que j ai les symptomes du covid,Do I have the symptoms of COVID? ,nextsteps,
2351,2020-03-23T14:50:14.377Z,fac95c0d-f11a-42a7-9676-269694bd9e4b,fr,Y a-t-il des individus totalement immunisés de façon naturelle (ou innée) contre ce virus?,fr,y a t il des individus totalement immunises de facon naturelle ou innee contre ce virus,Are there people who are completely naturally (or innately) immune to this virus? ,unclassified,32.0
2352,2020-03-23T16:05:56.967Z,70b6df4b-b310-4078-b391-b5d5ca32759b,fr,"Bonjour, j’étais en contact indirect avec que des gens de la France, j’ai de la tout, mais pas de fièvre : devrais-je aller me faire tester?",fr,bonjour j etais en contact indirect avec que des gens de la france j ai de la tout mais pas de fievre devrais je aller me faire tester,"Hello, I was in indirect contact with people from France, I have everything, but no fever: should I go get tested? ",nextsteps,
2353,2020-03-23T14:49:30.384Z,d8fc319e-4bf7-461d-b08b-15d455bb2a40,fr,Dois je limiter mes contacts avec des personnes qui ont besoin d'aide pour pouvoir rester à la maison ?,fr,dois je limiter mes contacts avec des personnes qui ont besoin d aide pour pouvoir rester a la maison,Do I have to limit my contacts with people who need help to be able to stay at home?,unclassified,8.0
2354,2020-03-23T16:21:25.19Z,63babbd1-f22f-42d9-98ce-a95d8c3f8c6b,fr,Est-ce que les animaux de compagnie peuvent transmettre le virus?,fr,est ce que les animaux de compagnie peuvent transmettre le virus,Can pets spread the virus? ,animals,
2355,2020-03-23T13:06:45.783Z,ac7d256c-c87f-4708-8de9-fc8389c0a050,fr,"Une personne testé négative, peut-elle être positive plus tard ?",fr,une personne teste negative peut elle etre positive plus tard,"Can a person tested negative, be positive later? ",test,
2356,2020-03-23T18:00:31.595Z,0d18a3bf-7e72-4ab9-aa74-25dcfbfabc29,fr,Si tu as déjà attrapé le corina virus et tu t’en ai sorti est ce que tu es immunisé ?,fr,si tu as deja attrape le corina virus et tu t en ai sorti est ce que tu es immunise,If you have already caught the corina virus and you got out of it are you immune? ,unclassified,13.0
2357,2020-03-23T12:37:49.722Z,00d5a85b-b876-4555-aa86-491051ca07a5,fr,À partir de quel degré nous faisons de la fièvre ?,fr,a partir de quel degre nous faisons de la fievre,At what degree do we have a fever? ,unclassified,35.0
2358,2020-03-23T12:21:21.257Z,b0d51d1d-1f85-479d-834b-14595a4dccbe,en,Une personne de mon voisinage ne veut pas respecter ma demande d'accéder seule à la salle de lavage commune de mon immeuble. Que dois-je faire ?,fr,une personne de mon voisinage ne veut pas respecter ma demande d acceder seule a la salle de lavage commune de mon immeuble que dois je faire,A person in my neighborhood does not want to comply with my request to access the common laundry room of my building alone. What should I do ? ,unclassified,21.0
2359,2020-03-23T14:50:14.349Z,fac95c0d-f11a-42a7-9676-269694bd9e4b,fr,Y a-t-il un véritablement un lien entre le groupe sanguin d'un individu et sa prédisposition à se défendre contre la COVID-19?,fr,y a t il un veritablement un lien entre le groupe sanguin d un individu et sa predisposition a se defendre contre la covid,Is there a real link between an individual's blood group and their predisposition to defend themselves against COVID-19? ,unclassified,32.0
2360,2020-03-23T17:57:50.396Z,af6de45e-e016-41ef-9099-55adac386524,fr,Quels sont les symptômes du covid 19?,fr,quels sont les symptomes du covid,What are the symptoms of covid 19? ,symptom,
2361,2020-03-23T13:43:11.224Z,ccc78c8c-c526-4488-9802-eef4e8b0e62f,fr,Ece que je peux prendre mon auto ?,fr,ece que je peux prendre mon auto,Can I take my car? ,caution,
2362,2020-03-23T14:50:14.357Z,fac95c0d-f11a-42a7-9676-269694bd9e4b,fr,"Lorsqu'on a été infecté une première fois par le virus, risque-t-on d'être infecté une deuxième fois?",fr,lorsqu on a ete infecte une premiere fois par le virus risque t on d etre infecte une deuxieme fois,"When you have been infected with the virus for the first time, are you at risk of being infected a second time?",dangerisk,
2363,2020-03-23T15:04:31.802Z,92506880-edff-4877-a07d-95d99bf50e26,fr,"Est-ce ce qu’après avoir guérit de la covid-19, la personne est immunisée?",fr,est ce ce qu apres avoir guerit de la covid la personne est immunisee,"After recovering from covid-19, is the person immune? ",unclassified,23.0
2364,2020-03-23T13:40:05.928Z,6b0b5edd-d5a8-4c61-839a-b090a20d17eb,fr,Est-ce  q je peux retourné  au travail si je suis congestionné a cause allergie et j'ai un fois gras et j'ai eu un traitement de tuberculose quand j'étais  jeune?,fr,est ce q je peux retourne au travail si je suis congestionne a cause allergie et j ai un fois gras et j ai eu un traitement de tuberculose quand j etais jeune,Can I go back to work if I am congested due to allergy and I once had fat and I had tuberculosis treatment when I was young? ,caution,
2367,2020-03-23T17:00:40.072Z,18d8bce1-781e-4469-b4b3-22b4de3a558a,fr,"Mon bail se termine dans une semaine. Est-ce que je peux déménager en toute sécurité tel que prévu, sans être un danger?",fr,mon bail se termine dans une semaine est ce que je peux demenager en toute securite tel que prevu sans etre un danger,My lease ends in a week. Can I safely move as planned without being in danger? ,caution,
2368,2020-03-23T15:56:57.966Z,635d8e03-c315-4f6f-8d2e-1427cebac430,en,Que dois-je faire pour me faire tester ?,fr,que dois je faire pour me faire tester,What should I do to get tested? ,test,
2372,2020-03-23T15:18:51.842Z,9244798c-517f-4a12-a2e7-696df62b4099,fr,Combien de temps dois-je me laver les mains?,fr,combien de temps dois je me laver les mains,How long should I wash my hands? ,unclassified,40.0
2374,2020-03-23T16:34:14.443Z,ce957295-2e16-4850-a7de-058d6bb8096a,fr,Ou est-ce que vous résidez?,fr,ou est ce que vous residez,Where do you live? ,unclassified,52.0
2375,2020-03-23T13:53:19.225Z,33cdb1a7-dca0-4329-b415-2f4b670ec2ee,fr,Est-ce qu’un vaccin est disponible?,fr,est ce qu un vaccin est disponible,Is a vaccine available? ,treatment,
2377,2020-03-23T16:21:25.133Z,63babbd1-f22f-42d9-98ce-a95d8c3f8c6b,fr,Quels sont les risques pour les femmes enceintes? ,fr,quels sont les risques pour les femmes enceintes,What are the risks for pregnant women? ,dangerisk,
2378,2020-03-23T14:08:28.672Z,fd9acce8-91dd-4c11-abe8-d58336434034,fr,À quand la Heineken virus? ,fr,a quand la heineken virus,,unclassified,15.0
2380,2020-03-23T16:12:25.025Z,583c0ea0-c7a3-4b76-be39-db5a4049c5b0,fr,Est-ce qu'il pourrait y avoir une pénurie de nourriture?,fr,est ce qu il pourrait y avoir une penurie de nourriture,Could there be a food shortage? ,unclassified,0.0
2381,2020-03-23T13:43:11.153Z,ccc78c8c-c526-4488-9802-eef4e8b0e62f,fr,Est-ce que je dois laver mon manteau d’hiver et mes mitaines ?,fr,est ce que je dois laver mon manteau d hiver et mes mitaines,Do I have to wash my winter coat and mittens?,unclassified,8.0
2382,2020-03-23T15:15:26.365Z,74c0c472-6345-478c-94e0-416b69b327f5,fr,Combien d'heures ou de jour(s) le virus peut se faire sentir sur un individu? ,fr,combien d heures ou de jour s le virus peut se faire sentir sur un individu,How many hours or days can the virus be felt on an individual? ,unclassified,26.0
2383,2020-03-23T12:52:47.806Z,725befc8-e242-4350-991e-a2a53fff1885,en,combien de temps c'est contagieux,fr,combien de temps c est contagieux,how long is it contagious ,dangerisk,
2385,2020-03-23T15:17:11.911Z,bfc2acca-fd47-4da0-81cc-e1b08aad290c,fr,Quelle est la courbe du Québec par rapport à celle de l'Espagne ou de l'Italie en date d'aujourd'hui?,fr,quelle est la courbe du quebec par rapport a celle de l espagne ou de l italie en date d aujourd hui,What is the curve of Quebec compared to that of Spain or Italy as of today? ,unclassified,15.0
2387,2020-03-23T14:49:34.638Z,18155d9d-7e8f-44b8-bfe1-75537af60573,fr,J'ai eu mal à la t^te et de la diarrhée la semaine dernière.  J'avais été en contact avec des personnes revenant de voyage le 9 mars. Devrais-je me faire tester.,fr,j ai eu mal a la t te et de la diarrhee la semaine derniere j avais ete en contact avec des personnes revenant de voyage le mars devrais je me faire tester,I had a headache and diarrhea last week. I had been in contact with people returning from travel on March 9. Should I get tested. ,nextsteps,
2390,2020-03-23T15:18:51.82Z,9244798c-517f-4a12-a2e7-696df62b4099,fr,Quel est la différence entre le covid-19 et une influenza? ,fr,quel est la difference entre le covid et une influenza,What is the difference between covid-19 and influenza? ,diff,
2391,2020-03-23T15:06:30.971Z,bf88c8bd-97ad-4766-9479-8887b1cec604,fr,Les maux de gorge et la congestion nasale constituent-ils des symptômes de la COVID-19?,fr,les maux de gorge et la congestion nasale constituent ils des symptomes de la covid,Are sore throat and nasal congestion symptoms of COVID-19? ,symptom,
2392,2020-03-23T12:31:56.572Z,ac7d256c-c87f-4708-8de9-fc8389c0a050,fr,Quelles sont les mesures que je dois prendre pour faire l'épicerie d'une personne âgée ?,fr,quelles sont les mesures que je dois prendre pour faire l epicerie d une personne agee,What steps should I take to do the grocery shopping? an old person ? ,unclassified,8.0
2393,2020-03-23T12:27:40.629Z,07963047-657d-47be-8666-df2b820d01eb,fr,Quel sont les symptomes,fr,quel sont les symptomes,What are the symptoms ,symptom,
2394,2020-03-23T14:08:28.629Z,fd9acce8-91dd-4c11-abe8-d58336434034,fr,Est-ce que je peux visiter mon conjoint?,fr,est ce que je peux visiter mon conjoint,Can I visit my partner? ,caution,
2395,2020-03-23T14:50:24.594Z,2066b872-13f4-4791-a2a8-b631c8063fea,fr,Combien de temps durera la pandémie ?,fr,combien de temps durera la pandemie,How long will the pandemic last?,future,
2396,2020-03-23T16:53:39.845Z,2a10e0ce-a35a-46a4-8ce7-2b24d8078e1d,fr,Quels sont les risques du COVID-19 pour les femmes enceintes et leur bébé? ,fr,quels sont les risques du covid pour les femmes enceintes et leur bebe,What are the risks of COVID-19 for pregnant women and their babies? ,dangerisk,
2397,2020-03-23T16:06:17.502Z,ada881eb-9fe1-4b3b-a72d-ca9c2c6315bf,fr,Est ce qu’il y aura un test obligatoire,fr,est ce qu il y aura un test obligatoire,Will there be a compulsory test ,test,
2398,2020-03-23T16:25:25.077Z,393bb986-e508-4b39-9780-71703f6de3b9,en,Est-ce que je risque de mourir?,fr,est ce que je risque de mourir,Do I risk dying? ,dangerisk,
2401,2020-03-23T12:21:21.28Z,b0d51d1d-1f85-479d-834b-14595a4dccbe,en,J'habite dans un quartier densément peuplé et il y a beaucoup de gens des autres arrondissements qui y viennent pour faire leurs achats depuis la fermeture des centres commerciaux. Je pensais que c'était interdit de se déplacer d'un quartier à l'autre. Quel instance dois-je contacter : la municipalité ou le gouvernement ?,fr,j habite dans un quartier densement peuple et il y a beaucoup de gens des autres arrondissements qui y viennent pour faire leurs achats depuis la fermeture des centres commerciaux je pensais que c etait interdit de se deplacer d un quartier a l autre quel instance dois je contacter la municipalite ou le gouvernement,I live in a densely populated neighborhood and many people from other boroughs have been coming there to shop since the shopping centers closed. I thought it was forbidden to move from one district to another. Which body should I contact: the municipality or the government? ,animals,
2402,2020-03-23T15:17:11.898Z,bfc2acca-fd47-4da0-81cc-e1b08aad290c,fr,Est-ce que les mesures prises au Québec sont suffisantes?,fr,est ce que les mesures prises au quebec sont suffisantes,Are the measures taken in Quebec sufficient? ,unclassified,1.0
2403,2020-03-23T14:06:50.957Z,0364ce09-0e04-45e2-884f-1761bcab20cc,fr,"Si j'ai des symptômes mais que je vais quand même bien, suis-je obligée d'aller me faire tester?",fr,si j ai des symptomes mais que je vais quand meme bien suis je obligee d aller me faire tester,"If I have symptoms but I'm still fine, do I have to go get tested? ",nextsteps,
2404,2020-03-23T15:18:51.806Z,9244798c-517f-4a12-a2e7-696df62b4099,fr,Est-il possible que ma conjointe ait attrapé le covid-19 si elle tousse ?,fr,est il possible que ma conjointe ait attrape le covid si elle tousse,Is it possible that my spouse caught covid-19 if she coughed?,unclassified,13.0
2405,2020-03-23T13:20:37.896Z,ac7d256c-c87f-4708-8de9-fc8389c0a050,fr,Doit-on craindre une seconde vague d'épidémie comme cela commence à se produire en Chine ?,fr,doit on craindre une seconde vague d epidemie comme cela commence a se produire en chine,Should we fear a second wave of epidemic like this is starting to happen in China? ,unclassified,19.0
2406,2020-03-23T13:15:23.376Z,b0eb759f-7193-4b97-a91a-af4184a56d7d,fr,Quelle est la façon la plus efficace de me tenir informé ?,fr,quelle est la facon la plus efficace de me tenir informe,What is the most effective way to stay informed? ,unclassified,9.0
2408,2020-03-23T12:22:45.67Z,fde61e85-69d6-4051-9443-40657444d7c1,fr,Je tousse et je mouche. Suis-je atteint ? ,fr,je tousse et je mouche suis je atteint,I cough and fly. Am i reached? ,nextsteps,
2409,2020-03-23T15:18:51.86Z,9244798c-517f-4a12-a2e7-696df62b4099,fr,Est-ce que les hopitaux sont des endroits sur? ,fr,est ce que les hopitaux sont des endroits sur,Are hospitals safe places? ,unclassified,1.0
2410,2020-03-23T15:14:42.046Z,9c5c6317-bf69-4ef8-8a67-31d9e628c42e,fr,Est-ce les personnes avec un cancer du sang sont plus à risques?,fr,est ce les personnes avec un cancer du sang sont plus a risques,Are people with blood cancer more at risk? ,dangerisk,
2411,2020-03-23T16:10:35.469Z,e51ed7ba-17da-4694-8b9c-1c5e14349d05,fr,Quel est le pourcentage d'alcool est nécessaire pour etre efficace pour un désinfectant à mains ? ,fr,quel est le pourcentage d alcool est necessaire pour etre efficace pour un desinfectant a mains,What percentage of alcohol is needed to be effective for a hand sanitizer? ,unclassified,8.0
2412,2020-03-23T15:14:42.05Z,9c5c6317-bf69-4ef8-8a67-31d9e628c42e,fr,Est-ce que je peux l'attraper en faisant mon épicerie?,fr,est ce que je peux l attraper en faisant mon epicerie,Can I catch it while doing my grocery shopping? ,caution,
2413,2020-03-23T16:54:37.182Z,bec58643-25f2-478f-ab7b-a649d7bd712f,fr,Est-ce qu’il faut éviter les rassemblements de 2-3 personnes (amis) qui n’habitent pas au même domicile ,fr,est ce qu il faut eviter les rassemblements de personnes amis qui n habitent pas au meme domicile,Should we avoid gatherings of 2-3 people (friends) who do not live in the same home ,unclassified,16.0
2414,2020-03-23T15:18:51.8Z,9244798c-517f-4a12-a2e7-696df62b4099,fr,Peut-on attraper le covid-19 en mangeant des legumes pris sur des etalages d'epicieries? ,fr,peut on attraper le covid en mangeant des legumes pris sur des etalages d epicieries,Can we catch covid-19 by eating vegetables taken from grocery stores? ,unclassified,44.0
2415,2020-03-23T15:18:51.869Z,9244798c-517f-4a12-a2e7-696df62b4099,fr,Peut-on attraper le covid19 en prenant une marche?,fr,peut on attraper le covid en prenant une marche,Can we catch covid19 while taking a walk?,unclassified,44.0
2417,2020-03-23T13:23:57.187Z,33b96d7d-967e-4cc6-b671-a58769818e1e,fr,Quelles sont les risques potentiels du virus pour une femme enceinte au premier trimestre?,fr,quelles sont les risques potentiels du virus pour une femme enceinte au premier trimestre,What are the potential risks of the virus for a pregnant woman in the first trimester? ,dangerisk,
2418,2020-03-23T15:13:28.827Z,e34c3175-0936-4939-9492-15199ae5254b,en,nombre de morts,fr,nombre de morts,number of deaths ,unclassified,12.0
2422,2020-03-23T15:24:49.979Z,5cc8d5d9-5165-405d-93cb-8991f849826d,fr,À quelle température dois-je consulter?,fr,a quelle temperature dois je consulter,At what temperature should I consult? ,unclassified,20.0
2423,2020-03-23T15:18:43.172Z,7e9ee820-b13c-410f-8aed-d440119dc153,fr,quel-sont les symptome à surveiller,fr,quel sont les symptome a surveiller,what are the symptoms to watch for ,symptom,
2425,2020-03-23T15:13:28.843Z,e34c3175-0936-4939-9492-15199ae5254b,en,Quelles sont les symptômes? ,fr,quelles sont les symptomes,What are the symptoms? ,symptom,
2426,2020-03-23T14:49:30.466Z,d8fc319e-4bf7-461d-b08b-15d455bb2a40,fr,Est ce que le recyclage passe encore ?,fr,est ce que le recyclage passe encore,Is recycling still happening? ,unclassified,6.0
2428,2020-03-23T13:06:45.776Z,ac7d256c-c87f-4708-8de9-fc8389c0a050,fr,"Si je n'ai pas de fièvre et que je ne me sens pas bien, est-il possible que je sois contaminé par le virus ?",fr,si je n ai pas de fievre et que je ne me sens pas bien est il possible que je sois contamine par le virus,"If I don't have a fever and I'm not feeling well, is it possible that I am infected with the virus? ",unclassified,37.0
2429,2020-03-23T14:50:24.604Z,2066b872-13f4-4791-a2a8-b631c8063fea,fr,Que dois-je faire si j'ai des symptômes ?,fr,que dois je faire si j ai des symptomes,What should I do if I have symptoms? ,nextsteps,
2430,2020-03-23T14:55:04.263Z,2d864d32-49e7-43bb-8f9f-fa1f68d5f45a,fr,Le temps de contagion ,fr,le temps de contagion,Contagion time ,unclassified,41.0
2432,2020-03-23T14:10:45.105Z,ab880581-e7b7-48ac-89f9-08f82b435f20,fr,Est-ce que je peux aller à l'épicerie? ,fr,est ce que je peux aller a l epicerie,Can I go to the grocery store? ,caution,
2433,2020-03-23T15:56:58.071Z,635d8e03-c315-4f6f-8d2e-1427cebac430,en,Ou je dois aller pour me faire tester ?,fr,ou je dois aller pour me faire tester,Where do I go to get tested? ,test,
2434,2020-03-23T15:06:30.967Z,bf88c8bd-97ad-4766-9479-8887b1cec604,fr,Les chantiers de constructions seront-ils suspendus jusqu’au 13 avril inclusivement ? ,fr,les chantiers de constructions seront ils suspendus jusqu au avril inclusivement,Will construction sites be suspended until April 13 inclusive? ,unclassified,50.0
2435,2020-03-23T14:17:25.657Z,0bff6b6d-7129-446c-a3c1-06cef508484f,fr,Je suis une femme enceinte. suis-je plus à risque d'attraper la COVID?,fr,je suis une femme enceinte suis je plus a risque d attraper la covid,I am a pregnant woman. am I more at risk of COVID?,dangerisk,
2437,2020-03-23T15:37:48.139Z,62fed657-569d-4733-9462-f5234db64e87,en,J'ai des symptôme léger de toux et de difficulter à respirer depuis 11 jours. je ne crois pas avoir eu de contact avec une personne infectée. Dois-je passer un test de dépistage?,fr,j ai des symptome leger de toux et de difficulter a respirer depuis jours je ne crois pas avoir eu de contact avec une personne infectee dois je passer un test de depistage,I have had mild symptoms of coughing and difficulty breathing for 11 days. I do not believe I have had contact with an infected person. Do I have to get tested? ,nextsteps,
2438,2020-03-23T12:29:15.76Z,2304040f-e7e5-4e34-94a4-0929db1c28ff,fr,es ce que je peux attraper le covid 2 fois?  ,fr,es ce que je peux attraper le covid fois,can i catch the covid 2 times?  ,caution,
2439,2020-03-23T14:06:50.926Z,0364ce09-0e04-45e2-884f-1761bcab20cc,fr,Quand dois-je aller me faire tester?,fr,quand dois je aller me faire tester,When should I go get tested?,test,
2440,2020-03-23T15:26:55.918Z,32d593bc-3a01-4423-a1fc-e07949f44489,fr,"Mon employeur vient de fermer la compagnie, suis-je éligible au PATT covid-19. -          À quel endroit se situe la clinique de dépistage la plus proche ? -          Est-ce que mon entreprise est un service essentiel ? Dois-je fermer ma compagnie ? -          Comment faire pour prendre un rendez-vous pour le dépistage de la covid 19? -          Quels sont les symptômes de la covid 19 ? -          Comment puis-je faire ma demande au programme PATT covid 19. -          Est-ce que mon employeur a le droit de me demander de rentrer au travail. -          Est-ce que mon employeur a le droit de m’exiger un test de dépistage pour la covid 19 ? -          Est-ce que je peux dénoncer une personne qui ne respecte pas les mesures d’isolement en cas de symptômes de covid 19. -          Combien de temps nous sommes contagieux à la suite de diagnostic de covid 19 -          Quelles sont les mesures que nous devons prendre lorsque nous sommes en isolement ? -          Que dois-je faire lorsque je présente des symptômes de la covid 19 ? -          Quelles sont les mesures prises par le gouvernement si je dois fermer ma compagnie ?",fr,mon employeur vient de fermer la compagnie suis je eligible au patt covid a quel endroit se situe la clinique de depistage la plus proche est ce que mon entreprise est un service essentiel dois je fermer ma compagnie comment faire pour prendre un rendez vous pour le depistage de la covid quels sont les symptomes de la covid comment puis je faire ma demande au programme patt covid est ce que mon employeur a le droit de me demander de rentrer au travail est ce que mon employeur a le droit de m exiger un test de depistage pour la covid est ce que je peux denoncer une personne qui ne respecte pas les mesures d isolement en cas de symptomes de covid combien de temps nous sommes contagieux a la suite de diagnostic de covid quelles sont les mesures que nous devons prendre lorsque nous sommes en isolement que dois je faire lorsque je presente des symptomes de la covid quelles sont les mesures prises par le gouvernement si je dois fermer ma compagnie,"My employer has just closed the company, am I eligible for PATT covid-19. - Where is the nearest screening clinic located? - Is my business an essential service? Should I close my company? - How do I make an appointment for covid 19 screening? - What are the symptoms of covid 19? - How can I apply for the PATT covid 19 program. - Does my employer have the right to ask me to return to work. - Does my employer have the right to require me to be tested for covid 19? - Can I report a person who does not respect the isolation measures in case of symptoms of covid 19. - How long are we contagious following the diagnosis of covid 19 - What measures should we take when we are in solitary confinement? - What should I do when I have symptoms of covid 19? - What are the measures taken by the government if I have to close my company?",caution,
2441,2020-03-23T13:40:05.95Z,6b0b5edd-d5a8-4c61-839a-b090a20d17eb,fr,Comment  savoir  si ma santé  est fragile ,fr,comment savoir si ma sante est fragile,How do I know if my health is fragile ,unclassified,17.0
2442,2020-03-23T12:22:45.686Z,fde61e85-69d6-4051-9443-40657444d7c1,fr,Quels sont les symptômes à surveiller ? ,fr,quels sont les symptomes a surveiller,What symptoms should I watch for? ,symptom,
2443,2020-03-23T14:08:28.657Z,fd9acce8-91dd-4c11-abe8-d58336434034,fr,Ma carte de crédit a été refusé.. j’ai pas d’argent cash.. j’fais quoi moi,fr,ma carte de credit a ete refuse j ai pas d argent cash j fais quoi moi,My credit card has been refused .. I have no cash .. I do what I do ,nextsteps,
2444,2020-03-23T16:06:17.493Z,ada881eb-9fe1-4b3b-a72d-ca9c2c6315bf,fr,Est ce que la garde partager est bannie,fr,est ce que la garde partager est bannie,Is custody sharing banned ,unclassified,27.0
2445,2020-03-23T14:27:32.768Z,49e1266b-0997-4cde-88c5-8e221e0d1ffe,fr,Combien de cas y a-t-il jusqu'à présent?,fr,combien de cas y a t il jusqu a present,How many cases have there been so far? ,statistics,
2448,2020-03-23T16:58:06.867Z,13c25f0a-051e-46e7-b49b-665722a2af99,fr,"Si je suis enceinte, suis-je plus à risque?",fr,si je suis enceinte suis je plus a risque,"If I am pregnant, am I more at risk? ",dangerisk,
2449,2020-03-23T14:27:32.567Z,d2d4b065-5254-4a5f-84a7-9537ed188c28,fr,"J'ai les yeux qui piquent, est-ce un symptomes?",fr,j ai les yeux qui piquent est ce un symptomes,"I have itchy eyes, is this a symptom? ",nextsteps,
2450,2020-03-23T17:09:31.213Z,41d23312-0d04-483c-92bb-900cdba9f7bd,en,Est ce que je peux visiter ma grand-mère,fr,est ce que je peux visiter ma grand mere,Can I visit my grandmother ,caution,
2453,2020-03-23T14:36:36.079Z,8a736459-7e6c-4684-90a0-fad50d48c7fe,fr,Quels sont les risques du COVID19 pour les femmes enceintes? ,fr,quels sont les risques du covid pour les femmes enceintes,What are the risks of COVID19 for pregnant women? ,dangerisk,
2455,2020-03-23T15:59:01.239Z,9150dc31-f472-4155-9764-29501d246346,fr,Combien de temps le virus reste-t-il sur les cheveux?,fr,combien de temps le virus reste t il sur les cheveux,How long does the virus stay on the hair? ,viruslife,
2456,2020-03-23T16:03:12.671Z,60ac1915-0b63-49b8-a9cb-531aa8b8d40f,fr,Est-ce que c'est en toussant qu'on partage le virus?,fr,est ce que c est en toussant qu on partage le virus,Is it by coughing that we share the virus? ,unclassified,0.0
2458,2020-03-23T13:15:23.372Z,b0eb759f-7193-4b97-a91a-af4184a56d7d,fr,Les médias exagèrent ils la portée de la pandémie ?,fr,les medias exagerent ils la portee de la pandemie,Are the media exaggerating the scope of the pandemic? ,unclassified,9.0
2459,2020-03-23T13:06:45.775Z,ac7d256c-c87f-4708-8de9-fc8389c0a050,fr,Est-ce que je peux décider moi-même de faire le test ?,fr,est ce que je peux decider moi meme de faire le test,Can I decide to take the test myself?,caution,
