,question,translated_question
2439,es ce que je peux attraper le covid 2 fois?  ,can i catch the covid 2 times?  
2440,Quand dois-je aller me faire tester?,When should I go get tested?
2441,"Mon employeur vient de fermer la compagnie, suis-je éligible au PATT covid-19. -          À quel endroit se situe la clinique de dépistage la plus proche ? -          Est-ce que mon entreprise est un service essentiel ? Dois-je fermer ma compagnie ? -          Comment faire pour prendre un rendez-vous pour le dépistage de la covid 19? -          Quels sont les symptômes de la covid 19 ? -          Comment puis-je faire ma demande au programme PATT covid 19. -          Est-ce que mon employeur a le droit de me demander de rentrer au travail. -          Est-ce que mon employeur a le droit de m’exiger un test de dépistage pour la covid 19 ? -          Est-ce que je peux dénoncer une personne qui ne respecte pas les mesures d’isolement en cas de symptômes de covid 19. -          Combien de temps nous sommes contagieux à la suite de diagnostic de covid 19 -          Quelles sont les mesures que nous devons prendre lorsque nous sommes en isolement ? -          Que dois-je faire lorsque je présente des symptômes de la covid 19 ? -          Quelles sont les mesures prises par le gouvernement si je dois fermer ma compagnie ?","My employer has just closed the company, am I eligible for PATT covid-19. - Where is the nearest screening clinic located? - Is my business an essential service? Should I close my company? - How do I make an appointment for covid 19 screening? - What are the symptoms of covid 19? - How can I apply for the PATT covid 19 program. - Does my employer have the right to ask me to return to work. - Does my employer have the right to require me to be tested for covid 19? - Can I report a person who does not respect the isolation measures in case of symptoms of covid 19. - How long are we contagious following the diagnosis of covid 19 - What measures should we take when we are in solitary confinement? - What should I do when I have symptoms of covid 19? - What are the measures taken by the government if I have to close my company?"
2442,Comment  savoir  si ma santé  est fragile ,How to know if my health is fragile 
2443,Quels sont les symptômes à surveiller ? ,What are the symptoms to watch for? 
2444,Ma carte de crédit a été refusé.. j’ai pas d’argent cash.. j’fais quoi moi,My credit card has been refused .. I have no cash .. I am doing what
2445,Est ce que la garde partager est bannie,Is shared custody banned
2446,Combien de cas y a-t-il jusqu'à présent?,How many cases are there so far?
2449,"Si je suis enceinte, suis-je plus à risque?","If I am pregnant, am I more at risk?"
2450,"J'ai les yeux qui piquent, est-ce un symptomes?","I have itchy eyes, is this a symptom?"
2451,Est ce que je peux visiter ma grand-mère,Can i visit my grandmother
2454,Quels sont les risques du COVID19 pour les femmes enceintes? ,What are the risks of COVID19 for pregnant women? 
2456,Combien de temps le virus reste-t-il sur les cheveux?,How long does the virus stay on the hair?
2457,Est-ce que c'est en toussant qu'on partage le virus?,Is it by coughing that we share the virus?
2459,Les médias exagèrent ils la portée de la pandémie ?,Are the media exaggerating the scope of the pandemic?
2460,Est-ce que je peux décider moi-même de faire le test ?,Can I decide to take the test myself?
2462,combien de temps dure le virus,how long does the virus last
2463,Quel est le nombre de tests effectués au Québec en date d'aujourd'hui?,What is the number of tests performed in Quebec as of today?
2464,ou est la clinique de ma région,where is the clinic in my region
2465,Est-ce que les personnes asthmatiques sont plus à risques d'être fortement malades si elles contractent le COVID-19? ,Are people with asthma more at risk of being seriously ill if they get COVID-19? 
2468,Est-ce que la chine est responsable de la maladie?,Is China responsible for the disease?
2469,Est-ce que je suis obligé de rester à la maison,Do i have to stay at home
2470,est-ce que les quincailleries seront fermées?,will the hardware stores be closed?
2471,"Nous sommes actuellement au Manitoba mais avons devancé notre retour au Québec dans quelques jours, mais nous anticipons la possibilité de ne pas pouvoir traverser la frontière Ontarienne du a sa probable fermeture prochaine. Les autorités peuvent-ils nous interdire notre retour su Québec même si c'est notre lieu de résidence ? La maison que nous occupons actuellement ne sera plus libre... donc nous n'aurons plus d'endroit où rester, ce pourquoi nous devons retourner dans notre résidence au Québec. Que faire ? ","We are currently in Manitoba but have anticipated our return to Quebec in a few days, but we anticipate the possibility of not being able to cross the Ontario border due to its probable next closure. Can the authorities prohibit us from returning to Quebec even if it is our place of residence? The house we currently occupy will no longer be free ... so we will have no place to stay, which is why we must return to our residence in Quebec. What to do ?"
2474,J'ai mal à la gorge. Est-ce un symptôme du COVID-19?,I have a sore throat. Is this a symptom of COVID-19?
2475,Est-ce que vous répondez aux questions?,Do you answer questions?
2477,Est-ce que je vais perdre mon emploi?,Will I lose my job?
2478,Combien de mort y a-t-il à présent? ,How many deaths are there now? 
2479,Quels sont les services essentiels?,What are the essential services?
2480,Quels sont les symptomes ?,What are the symptoms ?
2482,est ce que google est apple ,is google apple 
2483,Est-ce que vous avez les symptômes du corona virus?,Do you have the symptoms of corona virus?
2484,Est-ce que le Purrel est efficace contre la COVID-19?,Does Purrel work against COVID-19?
2485,Je dois renouveler ma carte d'assurance maladie. Est-ce que je dois encore aller faire ma photo à la SAAQ ou au CLSC?,I have to renew my health insurance card. Do I still have to take my photo at the SAAQ or the CLSC?
2486,Pourquoi la SAQ reste ouverte? ,Why does the SAQ remain open? 
2488,"Ma fille de 25 ans a mal à la gorge et un peu de diarrhée depuis 4 jours, devrait-elle se faire tester ?","My 25 year old daughter has a sore throat and a little diarrhea for 4 days, should she get tested?"
2490,Est-ce les intoxications alimentaires sont des symptômes du coronavirus?,Are food poisoning symptoms of the coronavirus?
2491,Doit-on désinfecter les emballages des produits achetés à l’épicerie?,Should we disinfect the packaging of products purchased at the grocery store?
2492,Combien de temps pourrait durer le confinement?,How long could containment last?
2493,Le curcuma est-il un bon moyen de se prémunir ?,Is turmeric a good way to protect yourself?
2494,Comment savoir si j'ai le coronavirus,How do I know if I have coronavirus
2496,Est-ce que le service de livraison des entreprises doit aussi être arrêté? Exemple: Amazon,Does the business delivery service also need to be stopped? Example: Amazon
2497,"Bonjour, ma question porte sur la décontamination à la maison, lorsque j'arrive de l'extérieur. ","Hello, my question is about decontamination at home, when I arrive from the outside. "
2498,"Je tousse, suis-je atteint?","I'm coughing, am I affected?"
2499,Le virus peut-il se déposer sur des vêtements ?,Can the virus get on clothes?
2500,combien de temps est-ce le virus peut rester vivant sur une surface,how long can the virus stay alive on a surface
2502,Si on a déjà un virus actif (herpès) est-ce qu'il est plus dangereux d'attraper lea Covid-19 et est-ce que le risques de complications sont plus élevés ?,If you already have an active virus (herpes) is it more dangerous to catch the Covid-19 and are the risks of complications higher?
2505,Ce quoi COVID-19,What COVID-19
2508,Comment savoir si je suis atteint du covid-19,How to tell if I have covid-19
2509,Quelle distance faut-il garder des autres personnes?,How far should you keep from other people?
2510,Quels sont les principaux symptômes du COVID-19,What are the main symptoms of COVID-19
2511,Pourquoi 1 mètre,Why 1 meter
2512,On n’a pas reçu nos résultats de tests encore.. y’arrive quoi avec nos résultats?,We have not received our test results yet .. y'arrive anything with our results?
2513,Où puis-je appeler si je présente des symptômes?,Where can I call if I have symptoms?
2514,Quel est la difference entre le virus et la maladie,What is the difference between the virus and the disease
2515,Combien de temps le virus peut survivre sur les vêtements? ,How long can the virus survive on clothing? 
2516,Est ce que je suis immunisé si je j'attrape le virus et j'en guéri ?,Am I immune if I catch the virus and cure it?
2517,Le nombre de cas à quebec ?,The number of cases in quebec?
2518,Femme enceinte ,Pregnant woman 
2519,"Lorsque j'arrive de l'extérieur et que j'entre chez moi, est-ce que je dois toujours laver les vêtements avec du savon ? Est-ce que c'est seulement si je suis monté à bord de l'autobus, par exemple ?","When I arrive from outside and enter my home, do I always have to wash clothes with soap? Is it only if I boarded the bus, for example?"
2520,"Si je vois des voisins jouer ensemble, est-ce que j’appelle la police ?","If I see neighbors playing together, do I call the police?"
2521,Y-a-t-il des aliments à proscrire pour ne pas avoir la covid 19,Are there foods to avoid to avoid having the covid 19
2524,Est-ce que je suis à risques pour le covid-19?,Am I at risk for covid-19?
2525,Quel est votre âge ?,What is your age ?
2526,Est-ce que je peux transmettre la maladie à mon chien ? ,Can I pass the disease on to my dog? 
2528,Combien de temps pour un test,How long for a test
2533,Puis-je m’manipuler mon courrier?,Can I handle my mail?
2534,Est-ce que le virus peut être contracté à nouveau après guérison?,Can the virus be contracted again after recovery?
2536,"J'ai de la fievre, est-ce que c'est la maladie? ","I have fever, is it illness? "
2537,Quoi faire si j'ai de la fièvre?,What to do if I have a fever?
2538,Dois-je rester en quarantaine si j’habite avec une personne qui revient de voyage ?,Do I have to stay in quarantine if I live with someone who has just returned from a trip?
2539,Dois-je rester confiné? ,Do I have to stay confined? 
2540,Peut-t-on attraper le virus dans un ascenseur,Can we catch the virus in an elevator
2541,"je reviens de voyage et j'ai le nez congestionné mais pas de toux ni fièvre, dois-je passer un test de dépistage?","I have just returned from my trip and have a congested nose but no cough or fever, do I need to be tested?"
2542,Quel est la recette des tartelettes portuguaises du docteur Arruda? ,What is the recipe for Doctor Arruda's Portuguese tartlets? 
2543,Quels sont les symptômes ?,What are the symptoms ?
2544,Est-ce que vous embaucher? ,Do you hire? 
2546,Est-ce que j'ai le COVid-19,Do i have COVid-19
2547,Pourquoi on est enfermés?,Why are we locked up?
2549,Quels sont les symptômes? ,What are the symptoms? 
2552,est-ce que je vais manquer de l'école,am i going to miss school
2554,"Est-il possible de contracter le virus sans avoir aucun symptôme, même après 14 jours ?","Is it possible to get the virus without having any symptoms, even after 14 days?"
2555,"Mon médecin me suis pour ma carence en fer car jai des hémorroïdes saignantes, mais je prends despîules de fer. Et j'ai attrapée un petit rhume ","My doctor treats myself for my iron deficiency because I have bleeding hemorrhoids, but I take iron tablets. And I got a little cold"
2557,S’il je prends de la vitamine C est-ce bon pour la prévention ?,Is it good for prevention if I take vitamin C?
2558,J’ai peur,I am scared
2561,Est ce que manger de l'ail peut m'aider a l'immunité,Can eating garlic help immunity
2562,Les billets de banque sont-ils des vecteurs pour la COVID-19?,Are banknotes vectors for COVID-19?
2563,"Je travail comme infirmière à l’hôpital .. depuis 2 ou 3 jours légers mal de gorge , pas de fièvre , léger difficulte à respirer mais je suis asthmatique et nez légèrement bloquer .. devrait je m’inquièté?","I work as a nurse in the hospital .. for 2 or 3 days mild sore throat, no fever, slight difficulty in breathing but I am asthmatic and nose slightly blocked .. should I worry?"
2564,Mon chat peut-il être porteur ?,Can my cat be a carrier?
2566,Pouvez vous me confirmer  q oui je peux  retourné  au travail ?,Can you confirm that yes I can go back to work?
2567,Quelles sont les sources les plus fiables concernant la covid-19 ?,What are the most reliable sources for covid-19?
2568,est ce que corona est un etre humain?,is corona a human being?
2570,"Je reviens de voyage. Je suis en isolement volontaire. Je tousse, mais je ne fais pas de fièvre. Devrais-je consulter?","I have just returned from my trip. I am in voluntary isolation. I cough, but I don't have a fever. Should I consult?"
2572,Combien de temps le virus reste-t-il en contact avec les vetements? ,How long does the virus stay in contact with clothing? 
2573,Comment je peux savoir si j'ai le coronavirus ?,How can I tell if I have coronavirus?
2574,Est ce que je peux voir une personne à la fois ?,Can I see one person at a time?
2575,Peut-on prendre les transports en commun?,Can we take public transport?
2576,"J’ai le nez qui coule, est-ce que j’ai le corona virus?","I have a runny nose, do I have corona virus?"
2577,est-il possible de développer des anticorps vs ce virus ?,is it possible to develop antibodies vs this virus?
2578,Je vais tu trouver une job?,Will you find a job
2579,"Si je rencontre quelqu'un positif au virus, combien de jours je peux percevoir les symptomes ?","If I meet someone positive for the virus, how many days can I see the symptoms?"
2580,Quand est-ce que ça va finir?,When is it going to end?
2581,toux ou fièvre,cough or fever
2582,Suis-je à risque si je souffre d'asthme ?,Am I at risk if I have asthma?
2583,"J'ai eu une grippe la semaine dernière, dois-je me faire tester pour le virus?","I had a flu last week, should I get tested for the virus?"
2587,Est-ce qu’il va avoir pénurie de vapoteuse?,Is there going to be a shortage of vaping?
2589,Est-ce que mon fils qui travaillent à une épicerie devrait porter des gants,Should my son who work at a grocery store wear gloves
2591,Quelle sont les risques de contagiont pour les gens lors de manipulation d'argent.,What are the risks of contagiont for people when handling money.
2592,A-t-il assez place dans les hotpitaux,Does it have enough space in hospitals
2595,La nourriture peut-elle être contaminée ?,Can food be contaminated?
2596,Que veut dire confinement?,What does containment mean?
2598,Ou dois-je m’adresser si j’ai des symptomes,Where should I go if I have symptoms
2599,Je suis congestionnée. Devrais-je consulter,I am congested. Should i consult
2601,Dois-je avoir un rendez-vous pour me présenter à une clinique,Do I have to have an appointment to go to a clinic
2602,Est-ce que je peux laisser les fenêtres ouvertes ?,Can I leave the windows open?
2604,Combien de temps la pandémie est-elle prévue pour durer ?,How long is the pandemic expected to last?
2605,Est-ce que trois enfants qui jouent dans la ruelle est considéré comme un rassemblement et donc interdit pour éviter la propagation de la COVID-19?,Is three children playing in the lane considered a gathering and therefore prohibited to prevent the spread of COVID-19?
2606,"Un proche est diabétique, est-ce que ses rendez-vous médicaux auront lieu comme d'habitude ? ","A loved one is diabetic, will their medical appointments take place as usual? "
2607,Les enfants peuvent-old aller jouer dehors?,Can old kids go outside to play?
2608,Quels sont les maladies qui me mettent plus à risque de complication si je suis exposée au virus COVID19? ,What are the diseases that put me more at risk of complications if I am exposed to the COVID19 virus? 
2609,Si un membre de la famille est contaminé peut il rester dans la même maison?,If a family member is infected can he stay in the same house?
2610,"J'ai le nez qui coule depuis 4 jours, devrais-je me faire tester ?","I have had a runny nose for 4 days, should I get tested?"
2611,Quelles mesures sont prévues dans le transport en commun,What measures are planned in public transport
2612,Est-ce que l'eau potable peu contenir le virus?,Can drinking water contain the virus?
2615,"Si je suis diagnostiqué positif à la Covid et que je guéris, ça prend combien de temps pour être guéri? et ","If I am diagnosed with Covid and recover, how long does it take to be cured? and"
2616,Est-ce que le virus peut rester sur ma carte bancaire quand je l'utilise à l'épicerie?,Can the virus remain on my bank card when I use it at the grocery store?
2617,Est-ce que le covid-19 est une maladie?,Is covid-19 a disease?
2618,Est-ce que mon chum peut coucher dans le même lit ?,Can my boyfriend sleep in the same bed?
2621,Quel est l’aide financière accessible?,What financial assistance is available?
2623,Quels sont les meilleurs moyens pour nettoyer là où le virus pourrait se trouver?,What are the best ways to clean up where the virus might be?
2625,Quels sont les symptômes du Covid-19,What are the symptoms of Covid-19
2630,Est ce que le virus va partir avec l'arrivée de l'été comme c'est le cas avec l'influenza?,"Will the virus leave with the arrival of summer, as is the case with influenza?"
2631,Combien de jours de fièvre doit-on attendre pour prendre une décision?,How many days of fever do you have to wait to make a decision?
2632,Après combien de jours de fièvre je dois me présenter à l'urgence?,How many days of fever do I have to go to the emergency room?
2633,Comment me faire tester?,How do I get tested?
2635,il y a t-il un graphique des cas au quebec,is there a graph of cases in quebec
2636,Voyez vous un lien encore la COVID 19 et l’environnement?,Do you still see a link between COVID 19 and the environment?
2639,Combien de temps le virus vit sur les surfaces?,How long does the virus live on surfaces?
2641,Est-ce qu’on peut guérir de la maladie ?,Can we cure the disease?
2642,Est-ce possible d’avoir une toux grasse et d’être tout de même atteint du covid?,Is it possible to have a fatty cough and still have covid?
2643,Combien de temps le virus reste-t-il sur les surfaces? ,How long does the virus stay on surfaces? 
2644,Est-il possible d'attraper à nouveau la COVID-19 si on l'a déjà eue?,Is it possible to catch COVID-19 again if we have already had it?
2645,Est ce qu’un virus est vivant?,Is a virus alive?
2646,Y-a-t’il des personnes asymptotiques?,Are there asymptotic people?
2647,"Si un collègue de mon conjoint est revenu récemment d’un voyage, et que j’ai mal à la gorge avec une toux sèche sans fièvre, suis-je qualifiée pour aller me faire tester au Covid-19?","If a colleague of my spouse recently returned from a trip, and my throat hurts with a dry cough without fever, am I qualified to go and get tested at Covid-19?"
2648,Est-ce que le port des gangs et masque sont recommandés pour aller à l'épicerie?,Are gangs and masks recommended when going to the grocery store?
2649,"Ai-je le rhume, la grippe, une pneumonie ou le coronavirus?","Do I have a cold, flu, pneumonia or coronavirus?"
2650,Suis-je une personne à risque?,Am I a person at risk?
2651,Combien de temps ça va durer cette affaire ?,How long will this case last?
2654,Quels sont les symptômes de la maladie ?,What are the symptoms of the illness ?
2656,Ca fait tu mal?,It makes you ill?
2658,Est-ce que les problèmes digestifs comme vomissements et diahrée sont aussi des symptômes du Covid19?,Are digestive problems like vomiting and diarrhea also symptoms of Covid19?
2659,Ou puis je trouver le guide d'autosoin ?,Where can I find the self-care guide?
2660,Est-ce que la COVID-19 est dangereuse pour les enfants?,Is COVID-19 dangerous for children?
2661,Quels sont les symptômes?,What are the symptoms?
2663,Suis-je contagieux ?,Am I contagious?
2665,"Si je porte un masque que j'ai fait moi-même avec du tissu, est-ce suffisant?","If I wear a mask that I made myself with fabric, is that enough?"
2666,Que faire pour se protéger lorsqu’on fait des courses à l’extérieur?,What to do to protect yourself when shopping outside?
2668,Je tousse c'est normal?,I'm coughing is that normal?
2670,"J'ai 79 ans et je veux aller au restaurant, vais-je contaminer quelqu'un?","I'm 79 and I want to go to a restaurant, will I infect someone?"
2672,Est-ce qu’il mange ?,Does he eat?
2675,Est-ce que les symptômes incluent une perte d’odorat?,Do the symptoms include loss of smell?
2676,Quel est le nombre de cas confirmés en gaspésie?,What is the number of confirmed cases in Gaspésie?
2678,Quels sont les symptômes associés à la COVID-19?,What are the symptoms associated with COVID-19?
2680,Puis je acheter un test en ligne ? ,Can I buy a test online? 
2681,Je suis enceinte et je travail très proche des gens est ce dangereux pour ma grossesse?,"I am pregnant and I work very close to people, is it dangerous for my pregnancy?"
2682,"Si mon bébé de 8 mois a la Covid-19 et est hospitalisé, suis-je autorisée à demeurer avec lui?","If my 8 month old baby has Covid-19 and is hospitalized, am I allowed to stay with him?"
2684,Comment se transmet le virus?,How is the virus transmitted?
2685,Quels sont les symptômes du Covid-19?,What are the symptoms of Covid-19?
2686,Ma fille travaille dans un hôpital puis je la voir.?,My daughter works in a hospital then I can see her.?
2688,"J’ai une grande fatigue  et j’ai perdu l’odorat et le goût, est- ce un symptôme du covid19?","I am very tired and have lost my sense of smell and taste, is this a symptom of covid19?"
2689,Combien de temps le virus reste dans le corps,How long the virus stays in the body
2690,Quels sont les symptômes?,What are the symptoms?
2691,Y en a combien de cas sur tout le Québec?,How many cases are there in all of Quebec?
2694,Est ce possible que les symptômes soient différents d’une personne a l’autre ( je ne parle pas de la gravité) ? Merci,Is it possible that the symptoms are different from one person to another (I'm not talking about the severity)? Thank you
2697,Combien de personnes touchées?,How many people affected?
2698,Combien de temps demeure-t-on contagieux après l'apparition des premiers symptômes?,How long is it contagious after the first symptoms appear?
2700,La simple présence du virus sur ma peau peut elle me rendre malade ,The simple presence of the virus on my skin can make me sick 
2701,Est-ce qu’on peut l’attraper deux fois?,Can we catch it twice?
2702,Est-ce que le virus est rouge ?,Is the virus red?
2703,Comment ca marche pour se faire tester?,How does it work to get tested?
2704,J'ai des maux de têtes. Est-ce possible qu'ils soient liés au covid-19?,I have headaches. Is it possible that they are linked to covid-19?
2707,Est-ce que le coronavirus peut demeurer en suspension dans les airs?,Can the coronavirus remain suspended in the air?
2709,Est-ce que je peux embarquer en voiture avec une personne ne résident pas avec moi?,Can I get into the car with a person who does not live with me?
2710,Est-ce que le virus parle français?,Does the virus speak French?
2713,Est-ce que le fait d'exposer un objet potentiellement infecté si froid le rend dans risque?,Does exposing a potentially infected object so cold make it at risk?
2714,Puis je être dépisté à posteriori ? ,Can I be screened afterwards? 
2717,Est ce que le MSSS va obliger les organisations de la santé de prévoir un fond de prévoyance pour planifier et déployer des services en cas de pandémie future ?,Will the MSSS oblige health organizations to provide a contingency fund to plan and deploy services in the event of a future pandemic?
2718,Qu'est-ce que la covid,What is covid
2719,Que puis-je faire pour prévenir la contamination ,What can i do to prevent contamination 
2720,Combien de temps pour avoir mes résultats?,How long to have my results?
2722,Est-ce que le coronavirus est un virus à enveloppe?,Is the coronavirus a enveloped virus?
2724,Comment se transmet le coronavirus ?,How is coronavirus transmitted?
2725,Pourquoi les dépanneurs sans station-service sont-ils essentiels ? ,Why are convenience stores without gas stations essential? 
2730,Les masques faciaux me protègent ils de la bactérie?,Do face masks protect me from bacteria?
2731,Quels sont les symptomes associes a COVID?,What are the symptoms associated with COVID?
2732,Comment puis-je me rendre utile?,How can I make myself useful?
2733,Est ce qu'il y a des enfants qui sont décédés du virus?,Have any children died from the virus?
2735,À quel endroit je peux effectuer un dépistage de covid19?,Where can I screen for covid19?
2736,Est ce que mon chien ou chat peut l'attraper et me le transmettre?,Can my dog ​​or cat catch it and pass it on to me?
2738,Quels sont les facteurs de protection contre le virus?,What are the protective factors against the virus?
2739,Combien de temps avant d’avoir les résultats d’un test?,How long before I get the results of a test?
2740,Puis-je avoir eu le virus et l'avoir combattu sans trop de difficulté?,Can I have had the virus and fought it without much difficulty?
2741,Combien de temps le coronavirus reste-t-il dans le corps?,How long does the coronavirus stay in the body?
2744,Est-ce que je devrais laver tous les emballages des aliments que j'achète lorsque je reviens de l'épicerie pour éviter la transmission?,Should I wash all of the food packaging I buy when I return from the grocery store to avoid transmission?
2745,Je dois attendre combien de temps avant de me faire tester?,How long do I have to wait before getting tested?
2746,Est ce que le virus pue ?,Does the virus stink?
2747,Je peux tu aller dehors?,Can I go outside?
2748,Combien de temps durent les symptômes?,How long do the symptoms last?
2749,"Une fois qu'une personne a contracté le virus, combien de temps est-elle malade?","Once someone has contracted the virus, how long is they sick?"
2750,"Si je lave mes fruits et légumes avec de l'eau et du savon, est ce suffisant pour tuer le virus?","If I wash my fruits and vegetables with soap and water, is this enough to kill the virus?"
2752,La simple présence du virus sur ma peau peut  peut ,The mere presence of the virus on my skin can 
2757,"Si j'allaite et que j'ai le virus, est ce que je peux le donner à mon bébé via mon lait maternel?","If I am breastfeeding and I have the virus, can I give it to my baby through my breast milk?"
2758,Combien de temps d'incubation?,How much incubation time?
2759,Est-il possible de tester positif à la covid-19 sans nécessairement avoir tous les symptômes?,Is it possible to test positive for covid-19 without necessarily having all the symptoms?
2760,Est-ce que la CoVID-19 vient également avec de l’écoulement nasal?,Does CoVID-19 also come with runny nose?
2761,Est ce que mes enfants peuvent attraper le virus au parc?,Can my children catch the virus at the park?
2765,Devrons-nous se mettre en confinement à chaque fois qu’il y aura une nouvelle éclosion de cas? ,Will we have to contain each time there is a new case outbreak? 
2767,Est-ce que les vertiges est un symptômes ?,Is dizziness a symptom?
2770,"Je fais de la fièvre, ai-je automatiquement le virus?","I have a fever, do I automatically get the virus?"
2771,Après combien de temps les symptômes apparaissent-ils ?,How soon do the symptoms appear?
2772,Dois-je limiter mes contacts meme avec les membres de ma maison?,Do I have to limit my contacts even with the members of my house?
2773,Bonjour nous avons passer le teste pour le cov19 ont est deux adulte 4enfants ont a eu les résultats pour tous sauf ma fille de deux ans ses elle qui a le plus de simptome sa fait deux jour que l ont attend es que sa veut dire que sont teste est positif ,Hello we have passed the test for the cov19 have is two adult 4 children have had the results for all except my daughter of two years her she who has the most simptome its made two days that l have expected that its means that are test is positive 
2774,Quels sont les moyens pour prévenir la transmission de covid-19?,What are the ways to prevent the transmission of covid-19?
2775,"Ma mère a 67 ans elle souffre d’anxiété elle a jamais voyager et elle est en bonne santé, elle a garder mon garçon mais avec toute les contrainte elle aimerait venir chez moi est ce ok ","My mother is 67 years old she suffers from anxiety she has never traveled and she is in good health, she has babysitting but with all the constraints she would like to come to my house is that ok "
2776,Quels sont les symptômes?,What are the symptoms?
2777,Est ce que je peux me faire tester même si j'ai pas fait de voyage?,Can I get tested even if I haven't taken a trip?
2781,Combien de temps dois-je rester en quarantaine si j'ai des symptômes possible de covid-19?,How long should I stay in quarantine if I have possible symptoms of covid-19?
2782,A quel moment je dois me faire tester?,When should I get tested?
2784,Est-ce que je peux promener mon chien ?,Can I walk my dog?
2785,Est ce que je dois faire un dépistage si je fais delà fièvre?,Do I have to be screened if I have a fever?
2786,est ce que ns,do we
2787,"Ma enfants ont des symptômes, que faire? ","My children have symptoms, what should I do? "
2788,Quels sont les symptômes ?,What are the symptoms ?
2789,Comment prévenir la maladie associé au COVID-19 ?,How to prevent the disease associated with COVID-19?
2791,Cabinets privés de ressources professionnelles (réseau de la santé) De quoi parle t-on ici? Ostéopathe? ou plutôt des psychologues?,Private professional resource offices (health network) What are we talking about here? Osteopath? or rather psychologists?
2792,Le virus meure s’il fait trop froid ?,Does the virus die if it is too cold?
2793,"Existe-t-il de nouveaux symptômes jusqu'ici ignorés, comme les troubles digestifs tels que la diarrhée et les maux de ventre?","Are there new, previously overlooked symptoms, such as digestive disorders such as diarrhea and stomach upset?"
2794,Suis-je contagieuse?,Am I contagious?
2795,Est ce que je peux changer quelques chose dans mon alimentation qui peut aider mon système immunitaire à combattre le virus?,Can I change something in my diet that can help my immune system fight the virus?
2796,C'est quoi les symptomes?,What are the symptoms?
2800,On fait quoi des enfants? ,What do we do with children? 
2801,Peut-on attraper le covid-19 deux fois?,Can we catch covid-19 twice?
2802,"Quand,  et comment un travailleur autonome doit présenter une demande d'aide financière ?",When and how should a self-employed person apply for financial assistance?
2803,"J’ai des symptômes, que faire? ","I have symptoms, what should I do? "
2805,Y a-t-il un lien entre le groupe sanguin et l'immunité au virus?,Is there a link between blood type and immunity to the virus?
2807,Ou dois-je appeler pour avoir un test?,Or should I call for a test?
2809,"Si j'attrape jamais de rhume, suis je moins à risque d'attraper le virus?","If I never get a cold, am I at less risk of getting the virus?"
2811,Combien de temps le coronavirus COVID-19 peut demeurer vivant?,How long can the COVID-19 coronavirus stay alive?
2812,Est ce que avoir mal à la gorge fait parti des symptômes?,Is a sore throat part of the symptoms?
2813,Si j'ai des symptômes du covid19 est ce que ma famille doit être en quarantaine si eux n'ont pas de symptômes?,If I have symptoms of covid19 should my family be quarantined if they have no symptoms?
2814,Est-ce qu'il y aura des pénuries ?,Will there be shortages?
2815,"Le gouvernement vas t'il ordonné l'arrêt des paiements  pour chaque citoyen : comme hypothèque, ass maison ","Will the government order the cessation of payments for each citizen: as mortgage, home ass "
2816,Est-ce que les chats transmettent le virus,Do cats transmit the virus
2817,Le virus est-il visible?,Is the virus visible?
2819,Combien de temps je dois attendre pour les resultats des tests?,How long do I have to wait for test results?
2820,Que dois-je faire si je pense avoir attraper le virus ?,What should I do if I think I have caught the virus?
2821,Puis-je attraper le covid19 en touchant à la pompe à gaz?,Can I catch covid19 by touching the gas pump?
2822,Y a-t-il plus de risque pour les femmes enceintes d'avoir des complications liées au coronavirus?,Is there a greater risk for pregnant women to have complications related to the coronavirus?
2823,Puis-je sortir dehors si je suis en quarantaine?,Can I go outside if I am in quarantine?
2824,Est ce qu'un vaccin pourrait anéantir complètement le virus ou ça va être comme l'influenza et plusieurs souches vont revenir à chaque année?,Could a vaccine completely wipe out the virus or will it be like influenza and several strains will come back each year?
2827,combien de cas au québec actuellement,how many cases in quebec currently
2828,Puis-je attraper 2 fois le coronavirus?,Can I get coronavirus twice?
2830,Quelle est la période d'incubation?,What is the incubation period?
2833,Est ce qu’il serait possible de développer des méthodes de coûts unitaires par usager contaminé? ,Would it be possible to develop unit cost methods per contaminated user? 
2835,Quels sont les symptômes?,What are the symptoms?
2836,"Je suis asthmatique chronique, suis-je considérée comme une personne vulnérable?","I have chronic asthma, am I considered a vulnerable person?"
2837,Est ce possible dinstorer des règles plus stricte pour les épiceries.......C fouu le monde qui y vont ,Is it possible to institute stricter rules for grocery stores ....... C for the world who go there 
2838,Les personnes asthmatiques sont-elles plus à risque?,Are people with asthma more at risk?
2839,Les premières symptômes sont quoi habituellement?,What are the first symptoms usually?
2840,Comment guérir?,How to cure?
2842,"Si un membre de lafamille tousse, qu'il a fait de la fièvre et qu'il  stresse beaucoup,  peut-il consulter?,","If a family member coughs, has a fever and is very stressed, can he see?"
2843,Vaut mieux porter des gants de nitrile pour faire l’épicerie ou tout simplement se laver les mains ?,Is it better to wear nitrile gloves for grocery shopping or just washing your hands?
2844,Ou puis je trouver le guide d'autosoin ?,Where can I find the self-care guide?
2845,"Est-ce que si l’on attrape le Covid-19 nous sommes ensuite plus immunisé comme certains autres virus ou bien si l’on peut tout aussi bien l’attraper une seconde fois, car il y a plusieurs souches?","If we catch Covid-19 then we are more immune like some other viruses or can we catch it a second time as well, because there are several strains?"
2848,Est ce que ceux décédés d covid19 sont plus des hommes ou des femmes?,Are those who died from covid19 more men or women?
